name,alt_name,ra,dec,vmag,multiple,class,ads,ads_comp,bii,bv_color,bv_uncert,cdec,cdec_1950,cra,cra_1950,dec_1900,dec_1950,dm_cat,dm_num,fk5,glat,glon,hd,hr,ir_flag,lii,m_cnt,m_id,m_mdiff,m_sep,note,par_code,parallax,pmdec,pmra,ra_1900,ra_1950,radvel,radvel_comm,ri_code,ri_color,rotvel,rotvel_comm,rotvel_uncert,sao,spect_code,spect_type,ub_color,ub_uncert,var_id,vmag_code,vmag_uncert,ra_deg,dec_deg,distance_pc,distance_ly,ra_rad,dec_rad,x,y,z,brightness_class,spectral_main
HR 3251,          ,08 15 52.51,-30 55 32.9,6.21,,                                         STAR G5III,,,2.3278,0.78,,-305533.0,-304617.0,81552.5,81351.9,-30.61667,-30.7713,,,,2.33,249.71,69445.0,3251,,249.713,3.0,AB  ,1.9,2.2,    ,D       ,0.009,-0.005,-0.047,122.96625,123.4664,6.0,V          ,,,,,,199010.0,          ,G5-8III+G:        ,0.35,,         ,         ,,123.96879166666666,-30.925805555555556,111111.11111111112,362395.55555555556,2.163663584302242,-0.5397571307759986,-53256.33094389749,79048.60007279839,-57103.07393889167,Faint,G
HR 6025,          ,16 06 19.70,+67 48 37.1,5.44,,                                           STAR A0V,,,40.0876,-0.02,,674837.0,675634.0,160619.7,160610.3,68.06667,67.9428,,,3276.0,40.09,101.15,145454.0,6025,,101.155,,    ,,,*   ,        ,0.01,0.066,-0.035,241.51167,241.5431,-18.0,V?         ,,,204.0,,,16962.0,          ,A0Vn              ,-0.08,,         ,         ,,241.58208333333337,67.81030555555556,100000.0,326156.0,4.216402767993985,1.183513098727847,-17973.489378301576,-33216.44256962493,92593.85304968624,Moderate,A
HR 2886,68    Gem ,07 33 36.50,+15 49 36.1,5.25,,                                           STAR A1V,,,16.3214,0.05,,154936.0,155608.0,73336.5,73045.3,16.03333,15.9356,,,,16.32,203.19,60107.0,2886,,203.186,,    ,1.6,0.2,*   ,        ,0.011,-0.012,-0.019,111.975,112.6886,12.0,V?         ,,,163.0,,,97016.0,          ,A1Vn              ,0.06,,3642     ,         ,,113.40208333333334,15.826694444444444,90909.09090909091,296505.45454545453,1.979239732787653,0.2762279277626503,-34738.593564430215,80268.14556320637,24793.501868969564,Moderate,A
HR 362 ,86Zet Psc ,01 13 45.29,+07 34 41.9,6.3,,                                           STAR F7V,996.0,,-54.875,0.49,,73442.0,71850.0,11345.3,11108.8,7.03333,7.3138,,,,-54.87,132.57,7345.0,362,,132.574,5.0,O   ,0.1,0.1,*   ,        ,0.026,-0.052,0.147,17.13208,17.7868,11.0,SBO        ,,,25.0,,,109740.0,          ,F7V               ,0.01,,442      ,         ,,18.438708333333334,7.578305555555556,38461.53846153846,125444.61538461538,0.32181617023158277,0.1322663836666225,36168.32683608146,12058.745908555065,5072.348747838495,Faint,F
HR 1506,55    Eri ,04 43 35.09,-08 47 46.0,6.7,,                                         STAR G8III,3409.0,,-32.3659,0.92,,-84746.0,-85319.0,44335.1,44111.1,-8.96667,-8.8886,,,,-32.37,205.96,30021.0,1506,,205.965,,    ,0.1,9.3,*   ,D       ,0.008,-0.024,0.032,69.69667,70.2964,48.0,SB         ,,,25.0,,,131443.0,          ,G8III             ,0.59,,         ,         ,,70.89620833333333,-8.796111111111111,125000.0,407695.0,1.2373722625965082,-0.15352110026014568,40428.90118186441,116726.71778587744,-19114.84512527284,Faint,G
HR 1142,17    Tau ,03 44 52.51,+24 06 47.9,3.7,,                                         STAR B6III,,,-23.8487,-0.11,,240648.0,235726.0,34452.5,34154.1,23.78333,23.9571,,,136.0,-23.85,166.18,23302.0,1142,,166.18,,    ,2.0,0.0,*   ,        ,0.02,-0.046,0.019,54.73375,55.4754,12.0,SB1O       ,,-0.1,215.0,,,76131.0,e         ,B6III             ,-0.4,,         ,         ,,56.21879166666667,24.113305555555556,50000.0,163078.0,0.9812030160760838,0.4208565754838849,25375.204890180506,37931.934803429176,20427.121648674765,Bright,B
HR 6146,30    Her ,16 28 38.50,+41 52 54.1,5.04,,                                         STAR M6III,,,43.7148,1.52,,415254.0,415926.0,162838.5,162659.9,42.1,41.9906,,,3303.0,43.72,66.16,148783.0,6146,,66.158,,    ,,,*   ,        ,0.018,-0.009,0.03,246.33917,246.7497,3.0,           ,,2.23,,,,46108.0,          ,M6-III            ,1.17,,g Her    ,         ,,247.1604166666666,41.88169444444444,55555.55555555556,181197.77777777778,4.3137630514344005,0.7309734643697728,-16054.94979623541,-38119.47561686648,37088.59553585041,Moderate,M
HR 4418,84Tau Leo ,11 27 56.21,+02 51 22.0,4.95,,                                         STAR G7III,,,58.5675,1.0,,25122.0,30753.0,112756.2,112521.9,3.4,3.1315,,,1297.0,58.57,259.9,99648.0,4418,,259.897,4.0,AB  ,2.6,91.1,*   ,        ,0.034,-0.012,0.018,170.69833,171.3414,-9.0,           ,,0.5,19.0,,,118875.0,          ,G7.5IIIa          ,0.79,,         ,         ,,171.98420833333333,2.8561111111111113,29411.76470588235,95928.23529411764,3.001690696852536,0.04984854269168249,-29088.224349530883,4096.259197319942,1465.5264903497598,Moderate,G
HR 2020,Bet Pic   ,05 47 17.11,-51 03 59.0,3.85,,                                           STAR A5V,,,-30.6116,0.17,,-510359.0,-510457.0,54717.1,54605.9,-51.1,-51.0826,,,,-30.61,258.37,39060.0,2020,,258.364,,    ,,,*   ,        ,0.061,0.085,0.011,86.22875,86.5248,20.0,V?         ,,0.16,139.0,,,234134.0,          ,A5V               ,0.1,,         ,         ,,86.82129166666667,-51.06638888888889,16393.44262295082,53468.19672131148,1.5153174004176486,-0.8912766232149598,571.2484659041262,10286.108597284396,-12752.043214601139,Bright,A
HR 2967,          ,07 42 03.19,+14 12 29.9,5.56,,                                          STAR M3II,,,17.5128,1.64,,141230.0,141936.0,74203.2,73914.1,14.43333,14.3266,,,2597.0,17.51,205.61,61913.0,2967,,205.605,,    ,,,*   ,        ,0.006,-0.012,-0.004,114.10375,114.8087,-16.0,V?         ,,1.42,,,,97157.0,          ,M3II-III          ,1.91,,NZ Gem   ,         ,,115.51329166666666,14.208305555555555,166666.66666666666,543593.3333333333,2.0160872693998613,0.24798171307384653,-69590.77268260221,145813.0270309916,40907.98556853512,Moderate,M
